[CONTROLS] ---- InputMap audit and repair ----
[CONTROLS] deploy  action_existed=true  keys_before=[]  wanted=Space  added=true
[CONTROLS] turnleft  action_existed=true  keys_before=[]  wanted=Q  added=true
[CONTROLS] turnright  action_existed=true  keys_before=[]  wanted=E  added=true
[CONTROLS] camera_cycle  action_existed=true  keys_before=[]  wanted=C  added=true
[CONTROLS] cutaway  action_existed=true  keys_before=[]  wanted=X  added=true
[CONTROLS] reserve  action_existed=true  keys_before=[]  wanted=V  added=true
[CONTROLS] flare  action_existed=true  keys_before=[]  wanted=F  added=true
[CONTROLS] togglehud  action_existed=true  keys_before=[]  wanted=H  added=true
[CONTROLS] flightcheck  action_existed=true  keys_before=[]  wanted=G  added=true
[CONTROLS] restart  action_existed=true  keys_before=[]  wanted=R  added=true
[CONTROLS] j  action_existed=true  keys_before=["J"]  wanted=J  added=false
[CONTROLS] pause  action_existed=true  keys_before=[]  wanted=Escape  added=true
[CONTROLS] ---- 11 binding(s) added ----
[PIPLIVE] SubViewport now shares the main World3D
[PIPLIVE] hid 2 standalone PiP prop(s); camera kept
[PIPLIVE] eye=(100.0, 1830.5, -100.0) state=0 deployed=false framing=aircraft/sky
[PIPLIVE] eye=(100.0, 1830.5, -100.0) state=0 deployed=false framing=aircraft/sky
[PIPLIVE] eye=(100.0, 1830.5, -100.0) state=0 deployed=false framing=aircraft/sky
[CTRL] pressed=j  key=J  state=0  deployed=false  alt_m=1828.8
[PIPLIVE] eye=(287.7334, 1740.651, 740.0939) state=1 deployed=false framing=aircraft/sky
[CTRL] pressed=turnleft  key=Q  state=1  deployed=false  alt_m=1668.7
[CTRL] pressed=turnright  key=E  state=1  deployed=false  alt_m=1546.6
[PIPLIVE] eye=(278.7141, 1543.378, 716.8951) state=1 deployed=false framing=aircraft/sky
[CTRL] pressed=deploy  key=Space  state=1  deployed=false  alt_m=1423.3
[GLIDE_HDR] t,brake_L,brake_R,sym,diff,fwd_speed,turn_rate_deg_s,heading_deg,descent_m_s,glide_ratio,x,z,raw_descent
[GLIDE],0.18333333333333,0.0,0.11354611507538,0.05677305753769,0.11354611507538,10.5503573843015,-7.33290708560513,-1.97011721062962,4.0654335775673,2.5951370703773,272.0341796875,701.708740234375,18.0
[GLIDE],0.2,0.0,0.10388089503088,0.05194044751544,0.10388089503088,10.5886316556777,-6.72029601466706,-2.0821221442074,4.07889567955195,2.59595549568966,272.027770996094,701.885070800781,18.0
[GLIDE],0.21666666666667,0.0,0.09454863305559,0.04727431652779,0.09454863305559,10.6255874130999,-6.12674455459816,-2.1842345534507,4.09200522745682,2.59667004866064,272.021026611328,702.06201171875,18.0
[GLIDE],0.23333333333333,0.0,0.08555064495539,0.04277532247769,0.08555064495539,10.6612194459767,-5.5525517822175,-2.27677708315433,4.10474774254966,2.59728980065276,272.013977050781,702.239562988281,18.0
[GLIDE],0.25,0.0,0.07688742695002,0.03844371347501,0.07688742695002,10.6955257892779,-4.99795760672228,-2.3600763765997,4.11711048676911,2.59782335782569,272.006622314453,702.417663574219,18.0
[GLIDE],0.26666666666667,0.0,0.06855870237953,0.03427935118976,0.06855870237953,10.7285075385771,-4.46314488475252,-2.43446212467891,4.12908242218465,2.59827885269017,271.9990234375,702.596313476562,18.0
[GLIDE],0.28333333333333,0.0,0.06056346740369,0.03028173370184,0.06056346740369,10.7601686690814,-3.94824161697462,-2.50026615162849,4.1406541641957,2.59866394110494,271.9912109375,702.775451660156,18.0
[GLIDE],0.3,0.0,0.05290003565166,0.02645001782583,0.05290003565166,10.7905158588194,-3.45332321445538,-2.55782153853608,4.15181792934453,2.59898580391819,271.983184814453,702.955139160156,18.0
[GLIDE],0.31666666666667,0.0,0.04556608178371,0.02278304089186,0.04556608178371,10.8195583161365,-2.97841482317917,-2.60746178558906,4.16256747856145,2.59925115253042,271.974975585938,703.13525390625,18.0
[GLIDE],0.33333333333333,0.0,0.03855868393187,0.01927934196594,0.03855868393187,10.8473076116298,-2.5234936952374,-2.64952001384302,4.17289805660428,2.59946623772948,271.966613769531,703.315856933594,18.0
[GLIDE],0.35,0.0,0.03187436499044,0.01593718249522,0.03187436499044,10.8737775146379,-2.08849159548047,-2.68432820710103,4.18280632839772,2.59963686121782,271.958129882812,703.496887207031,18.0
